Nb_Jobs ID NB_Particules Cout_Ref Cout_Solution Temps
5 0 20 24796.5 22917.5 0.448752
5 1 20 23909.9 21463.3 0.549929
5 2 20 22678.5 21370.2 0.197272
5 3 20 22067.5 19698.5 1.31144
5 4 20 17047.4 15322.4 0.121158
5 5 20 24556.3 23513.3 0.156941
5 6 20 23379.4 20515.2 0.603876
5 7 20 24919.8 20612.2 0.653412
5 8 20 28774.5 26198.3 0.15651
5 9 20 20571.1 16304.4 1.07805
6 0 20 26801 18324.4 0.193459
6 1 20 27575.7 20814.3 1.45199
6 2 20 26728.3 22285.4 0.711732
6 3 20 27144.7 23169.5 1.08019
6 4 20 30114.6 28481.7 0.141907
6 5 20 20946.7 18135.8 1.02327
6 6 20 32050 29327 2.17305
6 7 20 26883 25567.7 1.30745
6 8 20 30735.4 28557.4 0.758405
6 9 20 30101 24281.7 0.491778
7 0 20 46140.4 37874.6 1.51776
7 1 20 37769.7 32372.8 0.404962
7 2 20 36711.1 30318.7 0.847842
7 3 20 36256.8 33733.8 3.07239
7 4 20 45897.9 36315.8 2.47786
7 5 20 23649.8 20791.8 0.164116
7 6 20 33384.8 28590.5 6.99058
7 7 20 33821.3 27908.4 1.7064
7 8 20 34039.7 26092.4 3.6152
7 9 20 32544.5 24753.5 0.910106
8 0 20 32073.1 28831.3 3.80201
8 1 20 33455.5 30166.8 0.412481
8 2 20 43412 38523.1 2.58226
8 3 20 29517.4 27859.8 5.30242
8 4 20 47064.3 34955.9 1.43741
8 5 20 40401.2 34600.1 2.10324
8 6 20 41184 31792.2 0.698812
8 7 20 37100 29698.1 6.65083
8 8 20 44667.9 39927.9 2.05821
8 9 20 40810.5 35428 5.50428
9 0 20 38521.1 29197.6 28.7837
9 1 20 46631 35994 2.18184
9 2 20 60411 52022.6 8.06577
9 3 20 41603 38387.4 14.3921
9 4 20 39623.5 32008.1 64.3226
9 5 20 27421.9 19755 1.82996
9 6 20 41818.4 34920 4.70927
9 7 20 46218 37597.4 1.08088
9 8 20 43482.7 34600.4 7.4879
9 9 20 41951.7 32457.4 6.83646
10 0 20 48134.9 42431.9 15.2741
10 1 20 37145.5 22748.7 6.50835
10 2 20 64006.9 57265.3 3.21075
10 3 20 39177.5 35673.8 7.98159
10 4 20 36795.9 34228.8 3.69014
10 5 20 44676.3 38169.1 17.6866
10 6 20 32889.8 29353 5.50352
10 7 20 46662.3 34407.6 20.8126
10 8 20 46718.7 39929.7 3.17663
10 9 20 42730.7 37191.1 44.6315
10 10 20 47668.8 40109.3 85.4027
10 11 20 53775.6 47430.4 2.49115
10 12 20 48908.3 42466.6 7.08475
10 13 20 53890.8 41913.3 21.9265
10 14 20 36584.2 36506.2 2.06319
10 15 20 52565.3 45990.3 10.3964
10 16 20 43488.2 38441.9 38.6149
10 17 20 66450.4 54893.4 21.2039
10 18 20 58847.7 48552.6 48.1136
10 19 20 34825.1 27113.5 2.53724
20 0 20 75847.2 69479.2 600.042
20 1 20 96310 81041.1 600.127
20 2 20 67304.8 60670.5 600.183
20 3 20 85015.5 76779.2 504.373
20 4 20 119524 111873 600.071
20 5 20 89089.4 82590.3 600.096
20 6 20 58084.1 54344.1 600.113
20 7 20 59982.1 57920 600.064
20 8 20 70382.3 68497.8 600.159
20 9 20 64420.7 57777.7 600.143
20 10 20 105765 86221.9 600.139
20 11 20 101781 94390.8 600.14
20 12 20 100674 92133.3 600.111
20 13 20 87310.9 76667.5 600.16
20 14 20 119235 113728 600.095
20 15 20 70240.5 59121.5 600.188
20 16 20 88670.4 87295.4 600.166
20 17 20 61176.5 58779.5 600.165
20 18 20 55437.8 51170.2 600.122
20 19 20 106755 101290 600.128
30 0 20 103418 92844.2 600.254
30 1 20 170064 155775 600.344
30 2 20 80254.4 71877.8 600.118
30 3 20 116218 111428 600.424
30 4 20 115869 111519 600.348
30 5 20 70468.2 65461.2 600.33
30 6 20 113553 106908 600.298
30 7 20 100166 87396.8 600.196
30 8 20 122070 105436 600.068
30 9 20 152265 125504 600.287
30 10 20 95516 91047 600.307
30 11 20 106024 83772.5 600.264
30 12 20 95975.3 92035.3 600.387
30 13 20 130657 123727 600.095
30 14 20 124590 101982 600.063
30 15 20 91969.5 86256.6 600.26
30 16 20 139282 132223 600.206
30 17 20 102354 97891.4 600.006
30 18 20 92711.5 88105.1 600.148
30 19 20 122918 116626 600.238
40 0 20 94056 86497.4 600.902
40 1 20 141038 132024 600.425
40 2 20 187570 180989 600.819
40 3 20 214408 198915 600.562
40 4 20 122490 115109 600.125
40 5 20 167424 161443 600.86
40 6 20 169647 156903 600.84
40 7 20 141705 131601 600.445
40 8 20 121686 110922 600.729
40 9 20 101216 96515.2 600.657
40 10 20 156924 144358 600.292
40 11 20 97329.4 92273.8 600.767
40 12 20 131483 121849 600.293
40 13 20 109794 107397 600.176
40 14 20 147534 136612 600.621
40 15 20 134834 130414 600.881
40 16 20 116429 110583 600.811
40 17 20 158323 150984 600.041
40 18 20 161769 145917 600.256
40 19 20 198891 163972 600.644
50 0 20 148996 130570 601.197
50 1 20 150810 145118 600.622
50 2 20 127141 114852 600.356
50 3 20 174153 162864 600.767
50 4 20 144234 134610 600.798
50 5 20 202354 196141 601.087
50 6 20 189883 184920 600.069
50 7 20 127423 124729 600.555
50 8 20 129463 122614 600.066
50 9 20 198415 180057 601.255
50 10 20 100675 95744.1 600.901
50 11 20 162355 154882 600.523
50 12 20 156075 151894 600.06
50 13 20 172770 150524 600.593
50 14 20 199102 188358 600.535
50 15 20 150419 123916 600.794
50 16 20 164570 148340 601.171
50 17 20 164954 153878 600.102
50 18 20 205665 187920 600.764
50 19 20 211445 191457 600.443
60 0 20 137333 129057 602.384
60 1 20 124163 115068 601.301
60 2 20 256415 218111 602.309
60 3 20 204360 193958 602.484
60 4 20 215654 196482 600.476
60 5 20 178957 165880 601.797
60 6 20 175847 166900 601.152
60 7 20 149577 143044 600.491
60 8 20 183896 173946 601.175
60 9 20 210408 198275 601.273
60 10 20 174852 165648 600
60 11 20 162945 157456 602.054
60 12 20 202924 168867 600.945
60 13 20 216026 204864 601.965
60 14 20 220916 210818 600.643
60 15 20 206065 198186 601.515
60 16 20 190584 184372 601.102
60 17 20 265746 246954 602.252
60 18 20 127366 114374 600.218
60 19 20 158917 153259 600.897
70 0 20 197750 184809 600.684
70 1 20 239478 223400 601.032
70 2 20 200186 191876 600.856
70 3 20 178024 169531 602.022
70 4 20 205790 192621 600.57
70 5 20 227751 217255 600.113
70 6 20 212359 169440 601.225
70 7 20 233920 198254 603.34
70 8 20 211746 205334 602.962
70 9 20 244745 236061 601.388
70 10 20 173505 159438 601.823
70 11 20 287374 268517 601.181
70 12 20 263536 250963 602.149
70 13 20 220127 214574 601.427
70 14 20 267025 256918 601.415
70 15 20 212752 204329 602.584
70 16 20 242683 218906 602.646
70 17 20 237502 229679 603.42
70 18 20 223796 210114 603.623
70 19 20 185087 152937 600.351
80 0 20 274517 256904 603.609
80 1 20 221999 207474 602.393
80 2 20 180873 163266 604.631
80 3 20 296858 272637 603.707
80 4 20 332007 278418 600.314
80 5 20 252939 238667 603.62
80 6 20 208830 199575 602.939
80 7 20 255223 246099 603.204
80 8 20 270300 251746 603.512
80 9 20 306214 287879 601.487
80 10 20 209383 201964 603.646
80 11 20 277833 262988 600.684
80 12 20 261286 246241 603.982
80 13 20 227491 208316 602.624
80 14 20 293894 276292 601.22
80 15 20 165670 161837 603.136
